timestamp,latitude,longitude,locked
20250715_153133.795026,0.0,0.0,searching
20250715_153135.627316,0.0,0.0,searching
20250715_153136.087333,0.0,0.0,searching
20250715_153136.431825,0.0,0.0,searching
20250715_153136.863540,0.0,0.0,searching
20250715_153137.193209,0.0,0.0,searching
20250715_153137.525009,0.0,0.0,searching
20250715_153137.867347,0.0,0.0,searching
20250715_153138.210513,45.87072333333334,8.981468333333334,locked
20250715_153138.548834,0.0,0.0,searching
20250715_153138.882584,0.0,0.0,searching
20250715_153139.212395,0.0,0.0,searching
20250715_153139.541786,0.0,0.0,searching
20250715_153139.870634,45.87072333333334,8.981468333333334,locked
20250715_153140.197920,0.0,0.0,searching
20250715_153140.527612,0.0,0.0,searching
20250715_153140.852864,0.0,0.0,searching
20250715_153141.206118,0.0,0.0,searching
20250715_153141.562641,0.0,0.0,searching
20250715_153141.915847,45.87072333333334,8.981468333333334,locked
20250715_153142.247346,0.0,0.0,searching
20250715_153142.579578,0.0,0.0,searching
20250715_153142.909565,0.0,0.0,searching
20250715_153143.239560,0.0,0.0,searching
20250715_153143.565777,0.0,0.0,searching
20250715_153143.906116,0.0,0.0,searching
20250715_153144.246591,0.0,0.0,searching
20250715_153144.591207,0.0,0.0,searching
20250715_153144.940022,0.0,0.0,searching
20250715_153145.455150,0.0,0.0,searching
20250715_153145.800900,45.870736666666666,8.98148,locked
20250715_153146.243185,0.0,0.0,searching
20250715_153146.589079,0.0,0.0,searching
20250715_153147.017948,0.0,0.0,searching
20250715_153147.349572,0.0,0.0,searching
20250715_153147.697476,0.0,0.0,searching
20250715_153148.036982,45.870738333333335,8.981485,locked
20250715_153148.372586,0.0,0.0,searching
20250715_153148.703544,0.0,0.0,searching
20250715_153149.038738,0.0,0.0,searching
20250715_153149.368711,0.0,0.0,searching
20250715_153149.692444,0.0,0.0,searching
20250715_153150.029720,45.87074166666666,8.981488333333335,locked
20250715_153150.364236,0.0,0.0,searching
20250715_153150.712959,0.0,0.0,searching
20250715_153151.055052,0.0,0.0,searching
20250715_153151.396008,0.0,0.0,searching
20250715_153151.741916,0.0,0.0,searching
20250715_153152.085016,45.87074500000001,8.981491666666667,locked
20250715_153152.422857,0.0,0.0,searching
20250715_153152.759695,0.0,0.0,searching
20250715_153153.102956,0.0,0.0,searching
20250715_153153.466101,0.0,0.0,searching
20250715_153153.811401,0.0,0.0,searching
20250715_153154.157955,45.870746666666676,8.981496666666667,locked
20250715_153154.498352,0.0,0.0,searching
20250715_153154.826970,0.0,0.0,searching
20250715_153155.162774,0.0,0.0,searching
20250715_153155.493593,0.0,0.0,searching
20250715_153155.826774,0.0,0.0,searching
20250715_153156.164314,0.0,0.0,searching
20250715_153156.512454,0.0,0.0,searching
20250715_153156.860335,0.0,0.0,searching
20250715_153157.200783,0.0,0.0,searching
20250715_153157.528963,0.0,0.0,searching
20250715_153157.867752,0.0,0.0,searching
20250715_153158.204828,0.0,0.0,searching
20250715_153158.534456,0.0,0.0,searching
20250715_153158.883578,0.0,0.0,searching
20250715_153159.212815,0.0,0.0,searching
20250715_153159.549832,0.0,0.0,searching
20250715_153159.882772,0.0,0.0,searching
20250715_153200.214082,0.0,0.0,searching
20250715_153200.548211,0.0,0.0,searching
20250715_153200.879909,0.0,0.0,searching
20250715_153201.215675,0.0,0.0,searching
20250715_153201.576075,0.0,0.0,searching
20250715_153201.904597,0.0,0.0,searching
20250715_153202.231836,0.0,0.0,searching
20250715_153202.565742,0.0,0.0,searching
20250715_153202.920404,0.0,0.0,searching
20250715_153203.253488,0.0,0.0,searching
20250715_153203.585861,0.0,0.0,searching
20250715_153203.927248,0.0,0.0,searching
20250715_153204.271957,0.0,0.0,searching
20250715_153204.610681,0.0,0.0,searching
20250715_153204.949105,0.0,0.0,searching
20250715_153205.287872,0.0,0.0,searching
20250715_153205.638840,0.0,0.0,searching
20250715_153205.975094,0.0,0.0,searching
20250715_153206.307454,0.0,0.0,searching
20250715_153206.663291,0.0,0.0,searching
20250715_153206.997871,0.0,0.0,searching
20250715_153207.333352,0.0,0.0,searching
20250715_153207.668233,0.0,0.0,searching
20250715_153208.008848,0.0,0.0,searching
20250715_153208.343114,0.0,0.0,searching
