ID Image (Folder),District,Means of Transport,Time,Quantity per Week,Type of waste,Related activities
mappa1.jpg,Besso,Walking,06:00 AM,3,RSU; Glass; Paper,I listen to music and put my phone away
mappa2.jpg,Pregassona,Walking,06:00 PM,3,Pet; Paper; Aluminium,"Every now and then, after taking out the trash, I stop by Aldi to buy whatever I’m missing at home"
mappa3.jpg,Lugano Centro,Walking,10:00 AM,3,RSU; Glass; Paper,Travelling
mappa4.jpg,Lugano Centro,Walking,00:00 AM,2.5,RSU; Glass; Paper,I also take the opportunity to pick up the mail or move my car if I left it in a public parking spot on Saturday night
mappa5.jpg,Breganzona,Walking,10:00 AM,2,RSU; Paper,"When I already have to leave the house for groceries, work, etc., I don’t really have a fixed routine"
mappa6.jpg,Loreto,Car,12:00 PM; 04:00 PM,3,RSU; Glass,To go grocery shopping
mappa7.jpg,Loreto,Walking,08:00 AM,4,RSU; Glass; Paper; Aluminium,/
mappa8.jpg,Pregassona,Walking,08:00 AM,1,RSU,I’m usually with my two dogs.
mappa9.jpg,Lugano Centro,Public Transport,08:00 AM,5,RSU; Organic; Pet; Glass; Paper,In the morning while I’m at work or at Migros Lugano Centro (while I’m doing grocery shopping)
mappa10.jpg,Paradiso,Walking,10:00 AM,3.5,RSU; Pet; Glass; Paper; Aluminium,Grocery shopping – Weekend – Going out for dinner
mappa11.jpg,Viganello,Walking,08:00 AM,2,RSU; Glass; Paper; Aluminium,"On my way to work, I leave the paper bags in the basement so I can reuse them later"
mappa12.jpg,Riva San Vitale,Walking,08:00 PM,5,RSU; Organic; Pet; Glass; Paper,Going for a walk
mappa13.jpg,Sementina,Walking,06:00 PM,2.75,RSU; Pet; Glass,I dispose of it before going to the gym since it’s on the way
mappa14.jpg,Ecocentro Breganzona,Car,08:00 AM,6,RSU; Organic; Pet; Glass; Paper; Aluminium,I usually go around 12:00–12:30 because it’s not crowded. I avoid Saturdays because everyone goes then
mappa15.jpg,Pazzallo,Walking,06:00 PM,2,RSU; Glass,I stay informed through social media
mappa16.jpg,Lugano Centro,Walking,00:00 AM,0.25,Aluminium,/
mappa17.jpg,Breganzona,Walking,02:00 PM; 04:00 PM,5,RSU; Organic; Pet; Glass; Paper,I take advantage of the walk from home to the bus stop to take out the RSU waste bag
mappa18.jpg,Morbio,Walking,04:00 PM,5,RSU; Organic; Pet; Glass; Paper,"Going out in the evening, taking the dog out"
mappa19.jpg,Cadro,Bicycle,08:00 AM,4,RSU; Pet; Glass; Paper,
